detector_type,descriptor_type,frame no,no_keypoints_frame,no_keypoints_roi,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms
SHITOMASI,BRISK,0,1370,125,47.31905400,4.21310500,0,0.00000000
SHITOMASI,BRISK,1,1301,118,18.51193600,3.58416100,95,3.22752200
SHITOMASI,BRISK,2,1361,123,19.05301700,2.49353600,88,0.48730800
SHITOMASI,BRISK,3,1358,120,17.59497600,2.45376800,80,0.46882000
SHITOMASI,BRISK,4,1333,120,16.52734500,2.42684300,90,0.47957500
SHITOMASI,BRISK,5,1284,113,16.84949300,2.36668500,82,0.42600900
SHITOMASI,BRISK,6,1322,114,17.37751300,2.59519100,79,0.49967800
SHITOMASI,BRISK,7,1366,123,16.77648300,2.45320700,85,0.46447100
SHITOMASI,BRISK,8,1389,111,16.80668700,3.45873100,86,0.46880200
SHITOMASI,BRISK,9,1339,112,17.13747100,2.37526500,82,0.61565100

SHITOMASI,BRIEF,0,1370,125,15.93484000,4.64178300,0,0.00000000
SHITOMASI,BRIEF,1,1301,118,17.29057700,1.34625200,115,0.40889800
SHITOMASI,BRIEF,2,1361,123,16.88425100,1.50964300,111,0.56528800
SHITOMASI,BRIEF,3,1358,120,16.72453200,1.36635300,104,0.59511100
SHITOMASI,BRIEF,4,1333,120,16.40991200,1.58685500,101,0.57064800
SHITOMASI,BRIEF,5,1284,113,16.60707600,1.36581400,102,0.52769900
SHITOMASI,BRIEF,6,1322,114,18.32157900,1.38661400,102,0.41585000
SHITOMASI,BRIEF,7,1366,123,16.54066000,1.36435000,100,0.54972500
SHITOMASI,BRIEF,8,1389,111,16.40851800,1.37304100,109,0.39655600
SHITOMASI,BRIEF,9,1339,112,15.94764800,1.31317000,100,0.35660100

SHITOMASI,ORB,0,1370,125,17.63147900,3.36775100,0,0.00000000
SHITOMASI,ORB,1,1301,118,17.48745200,0.98476900,106,0.48087700
SHITOMASI,ORB,2,1361,123,17.47744900,0.99456400,102,0.50070400
SHITOMASI,ORB,3,1358,120,16.52955900,0.97064100,99,0.44950000
SHITOMASI,ORB,4,1333,120,17.13049800,1.03267700,102,0.64338200
SHITOMASI,ORB,5,1284,113,17.09096700,0.97845800,103,0.60331800
SHITOMASI,ORB,6,1322,114,16.50051200,1.01228000,97,0.51567100
SHITOMASI,ORB,7,1366,123,16.90936800,0.98044100,98,0.43754900
SHITOMASI,ORB,8,1389,111,17.08493000,0.99276300,104,0.62215500
SHITOMASI,ORB,9,1339,112,16.55586300,0.96977500,97,0.40085300

SHITOMASI,FREAK,0,1370,125,15.96705900,54.83060700,0,0.00000000
SHITOMASI,FREAK,1,1301,118,19.25587800,49.34643000,86,0.46472100
SHITOMASI,FREAK,2,1361,123,12.01283500,46.95703400,90,0.44566200
SHITOMASI,FREAK,3,1358,120,11.92753000,46.54309800,86,0.47302300
SHITOMASI,FREAK,4,1333,120,11.85580200,46.25380700,88,0.49430300
SHITOMASI,FREAK,5,1284,113,12.05350800,46.55471400,86,0.43030400
SHITOMASI,FREAK,6,1322,114,11.97106300,46.21634700,80,0.42328000
SHITOMASI,FREAK,7,1366,123,12.11495300,46.75243800,81,0.43409100
SHITOMASI,FREAK,8,1389,111,12.22751400,46.43760300,86,0.43861900
SHITOMASI,FREAK,9,1339,112,11.96146200,46.24369700,85,0.40274100

SHITOMASI,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
SHITOMASI,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
